Date,Open,High,Low,Close,Volume,Adj Close
2015-12-28,104.20,104.40,103.70,103.90,2633100,103.90
2015-12-25,104.70,104.70,104.70,104.70,000,104.70
2015-12-24,104.90,105.00,104.30,104.70,1414600,104.70
2015-12-23,103.90,104.50,103.30,104.40,5589100,104.40
2015-12-22,103.00,103.70,102.80,103.40,3947000,103.40
2015-12-21,103.20,103.80,102.60,103.00,4431700,103.00
2015-12-18,101.20,103.60,101.20,103.00,8300900,103.00
2015-12-17,101.30,102.50,100.90,101.20,8489300,101.20
2015-12-16,100.50,102.60,100.50,102.40,7743000,102.40
2015-12-15,101.00,101.50,100.10,100.10,5868700,100.10
2015-12-14,100.00,102.00,99.20,101.50,5679700,101.50
2015-12-11,102.40,102.40,101.00,101.30,3820600,101.30
2015-12-10,101.30,101.80,100.80,101.20,3680100,101.20
2015-12-09,102.10,102.20,101.10,101.80,4864500,101.80
2015-12-08,103.30,103.30,101.50,101.80,6990000,101.80
2015-12-07,103.60,104.10,103.30,103.50,6255300,103.50
2015-12-04,103.00,103.90,102.40,103.70,4621100,103.70
2015-12-03,103.50,104.20,102.90,103.30,3064300,103.30
2015-12-02,104.20,104.20,102.90,103.60,4991500,103.60
2015-12-01,103.10,103.60,101.60,103.30,6685400,103.30
2015-11-30,102.20,102.50,101.00,101.70,8615400,101.70
2015-11-27,103.00,103.30,101.10,101.20,5286400,101.20
2015-11-26,105.00,105.20,102.80,102.90,3612100,102.90
2015-11-25,104.90,105.10,102.90,103.60,5449300,103.60
2015-11-24,103.60,104.10,102.50,104.00,3717500,104.00
2015-11-23,104.10,104.40,103.10,104.00,3221200,104.00
2015-11-20,104.00,104.50,102.30,104.50,4013500,104.50
2015-11-19,103.50,104.20,103.00,103.80,4970800,103.80
2015-11-18,102.20,102.70,101.70,102.00,4499100,102.00
2015-11-17,103.00,103.10,101.70,102.00,4849000,102.00
2015-11-16,100.50,101.30,100.50,101.00,5168700,101.00
2015-11-13,102.70,102.80,101.70,102.30,4256800,102.30
2015-11-12,102.50,104.50,102.20,103.90,4680100,103.90
2015-11-11,101.50,103.60,101.50,102.10,3529800,102.10
2015-11-10,102.80,102.90,101.70,101.90,6533300,101.90
2015-11-09,103.70,104.20,103.00,103.30,4581900,103.30
2015-11-06,103.60,104.40,103.60,104.10,3538400,104.10
2015-11-05,105.50,105.90,104.40,104.80,4235500,104.80
2015-11-04,104.30,107.00,104.30,105.80,6185900,105.80
2015-11-03,104.70,105.40,103.80,104.20,3722600,104.20
2015-11-02,105.00,105.90,103.30,103.70,7057300,103.70
2015-10-30,107.20,107.80,106.20,106.50,4792300,106.50
2015-10-29,106.90,107.50,106.50,106.50,3928100,106.50
2015-10-28,107.70,108.50,107.00,107.20,3324400,107.20
2015-10-27,107.10,107.90,106.40,107.40,4326500,107.40
2015-10-26,108.30,108.90,106.10,106.50,5432200,106.50
2015-10-23,109.00,109.50,108.00,108.20,5702600,108.20
2015-10-22,106.30,108.10,105.60,107.50,5808700,107.50
2015-10-21,106.40,106.40,106.40,106.40,000,106.40
2015-10-20,107.00,107.30,106.10,106.40,3585600,106.40
2015-10-19,107.50,107.80,106.60,107.50,2702200,107.50
2015-10-16,107.60,107.90,106.40,107.50,4588900,107.50
2015-10-15,105.70,107.90,105.50,107.70,6334300,107.70
2015-10-14,105.30,106.10,104.60,106.00,4656200,106.00
2015-10-13,104.30,106.30,104.30,105.60,6334300,105.60
2015-10-12,102.90,104.90,102.60,104.80,6145400,104.80
2015-10-09,103.20,104.20,102.20,102.40,4397100,102.40
2015-10-08,104.00,104.40,102.30,102.60,6759600,102.60
2015-10-07,103.70,104.40,102.20,104.10,16736400,104.10
2015-10-06,105.00,105.30,103.00,103.80,4859700,103.80
2015-10-05,104.60,104.60,103.30,103.90,3464500,103.90
2015-10-02,102.20,103.50,102.00,103.40,9627800,103.40
2015-10-01,100.20,100.20,100.20,100.20,000,100.20
2015-09-30,100.50,101.40,99.80,100.20,7425300,100.20
2015-09-29,99.50,99.70,98.50,98.60,10099700,98.60
2015-09-28,100.80,100.80,100.80,100.80,000,100.80
2015-09-25,101.20,101.80,100.50,100.80,5504400,100.80
2015-09-24,102.80,102.80,100.70,100.90,6744600,100.90
2015-09-23,102.10,103.40,101.00,101.50,6635400,101.50
2015-09-22,103.50,104.90,103.00,103.00,6414400,103.00
2015-09-21,101.70,104.20,101.70,103.50,7070100,102.80
2015-09-18,103.70,104.70,103.50,103.60,7519900,102.89932
2015-09-17,106.70,106.80,102.40,103.70,9816700,102.99864
2015-09-16,105.30,106.70,104.30,106.00,6970300,105.28309
2015-09-15,105.10,105.30,103.50,104.20,6375100,103.49526
2015-09-14,104.90,106.20,104.20,105.20,6544600,104.4885
2015-09-11,108.70,109.50,104.60,104.90,9022000,104.19053
2015-09-10,108.90,109.00,107.20,108.10,6489400,107.36889
2015-09-09,106.00,111.80,106.00,109.90,18049400,109.15672
2015-09-08,101.20,104.80,100.50,103.60,6639000,102.89932
2015-09-07,101.50,102.80,100.60,101.00,4919900,100.31691
2015-09-04,104.00,104.00,100.30,102.00,6967200,101.31015
