Date,Open,High,Low,Close,Volume,Adj Close
2015-12-28,65.20,65.40,64.65,64.90,1164400,64.90
2015-12-25,65.30,65.30,65.30,65.30,000,65.30
2015-12-24,65.40,65.50,65.15,65.30,1205800,65.30
2015-12-23,65.00,65.30,64.85,65.05,1215200,65.05
2015-12-22,64.90,65.00,64.55,64.85,1638500,64.85
2015-12-21,64.65,65.10,64.30,64.40,2010300,64.40
2015-12-18,64.85,65.40,64.70,64.75,2960000,64.75
2015-12-17,64.80,65.45,64.40,65.35,2667000,65.35
2015-12-16,64.40,64.65,64.10,64.15,3723500,64.15
2015-12-15,64.15,64.60,64.15,64.40,2619400,64.40
2015-12-14,64.60,64.90,64.05,64.60,2412300,64.60
2015-12-11,65.05,65.40,64.70,64.80,2503200,64.80
2015-12-10,64.80,65.00,64.65,64.75,2453900,64.75
2015-12-09,64.55,64.95,64.25,64.30,1841500,64.30
2015-12-08,64.90,65.00,64.35,64.60,3510600,64.60
2015-12-07,65.20,65.40,64.85,65.20,1422000,65.20
2015-12-04,64.85,65.20,64.70,64.95,2693600,64.95
2015-12-03,65.00,65.40,64.85,65.00,1698700,65.00
2015-12-02,65.50,66.00,65.15,65.20,3646900,65.20
2015-12-01,65.10,66.10,65.10,66.00,3306800,65.45
2015-11-30,65.40,65.75,64.70,64.80,8042400,64.26
2015-11-27,66.40,66.40,65.35,65.40,3606700,64.855
2015-11-26,66.50,66.70,66.00,66.05,1849100,65.50
2015-11-25,66.15,66.40,65.80,66.00,2378600,65.45
2015-11-24,66.30,66.65,66.25,66.40,1500500,65.847
2015-11-23,66.50,66.80,66.30,66.75,1948100,66.194
2015-11-20,66.45,66.70,65.90,66.65,1843200,66.095
2015-11-19,65.70,66.40,65.70,66.35,1740500,65.797
2015-11-18,66.45,66.55,65.55,65.65,2669500,65.103
2015-11-17,65.80,66.50,65.70,66.45,10287000,65.896
2015-11-16,65.45,65.65,65.10,65.50,5477500,64.954
2015-11-13,66.15,66.40,65.50,65.70,2962400,65.152
2015-11-12,66.30,66.80,65.90,66.80,2318800,66.243
2015-11-11,65.65,66.25,65.15,65.95,1845800,65.40
2015-11-10,66.05,66.05,65.10,65.20,5034500,64.657
2015-11-09,66.25,66.60,66.10,66.15,2388500,65.599
2015-11-06,67.05,67.30,66.60,66.65,2357100,66.095
2015-11-05,67.55,67.95,67.10,67.30,1951400,66.739
2015-11-04,67.10,68.85,67.10,67.80,3899600,67.235
2015-11-03,67.15,67.40,66.80,67.20,2335700,66.64
2015-11-02,67.05,67.15,66.65,66.85,2360800,66.293
2015-10-30,67.60,68.00,67.25,67.50,3009700,66.938
2015-10-29,68.40,68.90,67.75,67.85,2395000,67.285
2015-10-28,68.45,68.95,68.45,68.80,1494200,68.227
2015-10-27,68.85,69.00,68.40,68.90,1980900,68.326
2015-10-26,69.20,69.20,68.40,68.50,1700400,67.929
2015-10-23,69.00,69.20,68.65,68.95,2767000,68.375
2015-10-22,68.30,68.95,68.05,68.85,2816000,68.276
2015-10-21,68.30,68.30,68.30,68.30,000,67.731
2015-10-20,68.00,68.50,68.00,68.30,1734700,67.731
2015-10-19,68.40,68.50,68.00,68.40,2001800,67.83
2015-10-16,68.20,68.30,67.80,68.25,2332600,67.681
2015-10-15,67.80,68.25,67.70,68.20,4319800,67.632
2015-10-14,67.10,67.65,67.10,67.60,2084900,67.037
2015-10-13,67.05,67.65,66.60,67.40,2796900,66.838
2015-10-12,66.75,67.00,66.40,66.95,2540000,66.392
2015-10-09,66.65,66.80,66.10,66.10,3878700,65.549
2015-10-08,66.85,67.15,66.15,66.20,4057600,65.648
2015-10-07,66.90,67.00,66.35,66.40,3901100,65.847
2015-10-06,67.25,67.25,66.10,66.55,3061000,65.995
2015-10-05,66.55,67.00,66.35,67.00,3230900,66.442
2015-10-02,66.65,66.65,65.75,66.30,3082000,65.748
2015-10-01,66.15,66.15,66.15,66.15,000,65.599
2015-09-30,64.65,66.20,64.65,66.15,3460400,65.599
2015-09-29,66.15,66.15,64.55,65.15,3568000,64.607
